a,b,c,d,e,f,g,h
0.66,0,0.077313,0.21581,0.34848,0.47395,0.55938,0.56282
0.67,0,0.076951,0.21257,0.34156,0.46332,0.54623,0.54957
0.68,0,0.076547,0.2092,0.33446,0.45251,0.53288,0.53611
0.69,0,0.076095,0.20568,0.32718,0.44151,0.51933,0.52246
0.7,0,0.075592,0.20201,0.31973,0.43032,0.50558,0.50861
0.71,0,0.075032,0.19819,0.31209,0.41893,0.49163,0.49456
0.72,0,0.07441,0.19422,0.30427,0.40736,0.47748,0.4803
0.73,0,0.07372,0.19008,0.29627,0.39558,0.46313,0.46585
0.74,0,0.072958,0.18578,0.28807,0.38361,0.44858,0.4512
0.75,0,0.072116,0.18131,0.27969,0.37144,0.43383,0.43635
0.76,0,0.071187,0.17667,0.27111,0.35908,0.41889,0.42129
0.77,0,0.070166,0.17184,0.26233,0.34651,0.40374,0.40604
0.78,0,0.069044,0.16683,0.25336,0.33375,0.38839,0.39059
0.79,0,0.067814,0.16163,0.24418,0.32078,0.37284,0.37494
0.8,0,0.066467,0.15624,0.2348,0.30761,0.35709,0.35909
0.81,0,0.064995,0.15064,0.2252,0.29424,0.34114,0.34303
0.82,0,0.06339,0.14485,0.2154,0.28066,0.325,0.32678
0.83,0,0.061643,0.13884,0.20539,0.26688,0.30865,0.31033
0.84,0,0.059742,0.13262,0.19516,0.25289,0.2921,0.29368
0.85,0,0.05768,0.12618,0.18471,0.23869,0.27535,0.27682
0.86,0,0.055446,0.11952,0.17404,0.22428,0.2584,0.25977
0.87,0,0.05303,0.11263,0.16314,0.20966,0.24124,0.24252
0.88,0,0.050421,0.1055,0.15202,0.19483,0.22389,0.22506
0.89,0,0.047608,0.098137,0.14067,0.17979,0.20634,0.20741
0.9,0,0.04458,0.090529,0.12909,0.16453,0.18859,0.18956
0.91,0,0.041327,0.082673,0.11728,0.14906,0.17063,0.1715
0.92,0,0.037836,0.074563,0.10523,0.13337,0.15248,0.15325
0.93,0,0.034096,0.066195,0.092935,0.11747,0.13412,0.13479
0.94,0,0.030097,0.057564,0.080402,0.10135,0.11556,0.11614
0.95,0,0.025825,0.048666,0.067625,0.085008,0.096807,0.097282
0.96,0,0.02127,0.039494,0.054602,0.068449,0.077848,0.078226
0.97,0,0.016421,0.030046,0.041329,0.05167,0.058688,0.05897
0.98,0,0.011264,0.020315,0.027805,0.034668,0.039326,0.039514
0.99,0,0.0057905,0.010298,0.014028,0.017445,0.019764,0.019857
1,0,-1.2618e-05,-9.6861e-06,-6.1643e-06,-2.5935e-06,-1.4392e-07,-4.5271e-08
